acronym,team_name,sport
BOU,AFC Bournemouth,soccer
ARS,Arsenal,soccer
AVA,Aston Villa,soccer
BHA,Brighton Hove Albion,soccer
BUR,Burnley,soccer
CHE,Chelsea,soccer
CRY,Crystal Palace,soccer
EVE,Everton,soccer
LEI,Leicester City,soccer
LIV,Liverpool,soccer
MCI,Manchester City,soccer
MUN,Manchester United,soccer
NEW,Newcastle United,soccer
NOR,Norwich City,soccer
SHU,Sheffield United,soccer
SOU,Southampton,soccer
TOT,Tottenham Hotspur,soccer
WAT,Watford,soccer
WHU,West Ham United,soccer
WLV,Wolverhampton Wanderers,soccer
ATL,Atlanta United,soccer
CHI,Chicago Fire,soccer
CLR,Colorado Rapids,soccer
COL,Columbus Crew SC,soccer
DCU,D.C. United,soccer
CIN,FC Cincinnati,soccer
DAL,FC Dallas,soccer
HOU,Houston Dynamo,soccer
MIA,Inter Miami,soccer
LAF,Los Angeles FC,soccer
LAG,Los Angeles Galaxy,soccer
MIN,Minnesota United FC,soccer
MLS,MLS All Stars,soccer
MTL,Montreal Impact,soccer
NSC,Nashville SC,soccer
NER,New England Revolution,soccer
NYC,New York City,soccer
NYR,New York Red Bulls,soccer
ORL,Orlando City,soccer
PHI,Philadelphia Union,soccer
POT,Portland Timbers,soccer
RSL,Real Salt Lake,soccer
SJE,San Jose Earthquakes,soccer
SEA,Seattle Sounders,soccer
SKC,Sporting Kansas City,soccer
TFC,Toronto FC,soccer
VAN,Vancouver Whitecaps,soccer
SF,49ers,football
CHI,Bears,football
CIN,Bengals,football
BUF,Bills,football
DEN,Broncos,football
CLE,Browns,football
ARI,Cardinals,football
LAC,Chargers,football
KC,Chiefs,football
IND,Colts,football
DAL,Cowboys,football
MIA,Dolphins,football
PHI,Eagles,football
ATL,Falcons,football
NYG,Giants,football
JAC,Jaguars,football
NYJ,Jets,football
DET,Lions,football
GB,Packers,football
CAR,Panthers,football
NEP,Patriots,football
OAK,Raiders,football
LAR,Rams,football
BAL,Ravens,football
WAS,Redskins,football
NO,Saints,football
SEA,Seahawks,football
PIT,Steelers,football
TB,Tampa Bay,football
HOU,Texans,football
TEN,Titans,football
MIN,Vikings,football
COL,Avalanche,hockey
CHI,Blackhawks,hockey
CBJ,Blue Jackets,hockey
STL,Blues,hockey
BOS,Bruins,hockey
MTL,Canadiens,hockey
VAN,Canucks,hockey
WSH,Capitals,hockey
ARI,Coyotes,hockey
NJD,Devils,hockey
ANA,Ducks,hockey
CGY,Flames,hockey
PHI,Flyers,hockey
VGK,Golden Knights,hockey
CAR,Hurricanes,hockey
NYI,Islanders,hockey
WPG,Jets,hockey
LAK,Kings,hockey
TBL,Lightning,hockey
TOR,Maple Leafs,hockey
EDM,Oilers,hockey
FLA,Panthers,hockey
PIT,Penguins,hockey
NSH,Predators,hockey
NYR,Rangers,hockey
DET,Red Wings,hockey
BUF,Sabres,hockey
OTT,Senators,hockey
SJS,Sharks,hockey
DAL,Stars,hockey
MIN,Wild,hockey
BC,Boston College,football
CLEM,Clemson,football
DUKE,Duke,football
FSU,Florida State,football
GT,Georgia Tech,football
LOU,Louisville,football
MIA,Miami (FL),football
NCST,NC State,football
PITT,Pittsburgh,football
SYR,Syracuse,football
UNC,North Carolina,football
UVA,Virginia,football
VT,Virginia Tech,football
WAKE,Wake Forest,football
ILL,Illinois,football
IND,Indiana,football
IOWA,Iowa,football
MICH,Michigan,football
MSU,Michigan State,football
MINN,Minnesota,football
NEB,Nebraska,football
NW,Northwestern,football
OSU,Ohio State,football
PSU,Penn State,football
PUR,Purdue,football
RUTG,Rutgers,football
UMD,Maryland,football
WIS,Wisconsin,football
BAY,Baylor,football
ISU,Iowa State,football
KU,Kansas,football
KSU,Kansas State,football
OKL,Oklahoma,football
OKS,Oklahoma State,football
TCU,TCU,football
TEX,Texas,football
TTU,Texas Tech,football
WVU,West Virginia,football
ARZ,Arizona,football
ASU,Arizona State,football
CAL,Cal,football
COL,Colorado,football
ORE,Oregon,football
OST,Oregon State,football
STAN,Stanford,football
UCLA,UCLA,football
USC,USC,football
UTAH,Utah,football
WASH,Washington,football
WSU,Washington State,football
ALA,Alabama,football
ARK,Arkansas,football
AUB,Auburn,football
FLA,Florida,football
UGA,Georgia,football
UK,Kentucky,football
LSU,LSU,football
MISS,Ole Miss,football
MSST,Mississippi State,football
MIZ,Missouri,football
SC,South Carolina,football
TENN,Tennessee,football
TAMU,Texas A&M,football
VAN,Vanderbilt,football
BYU,BYU,football
ARMY,Army,football
UMASS,UMass,football
ND,Notre Dame,football
CIN,Cincinnati,football
CONN,UConn,football
ECU,ECU,football
HOU,Houston,football
MEM,Memphis,football
NAVY,Navy,football
SMU,SMU,football
USF,South Florida,football
TEM,Temple,football
TULN,Tulane,football
TLSA,Tulsa,football
UCF,UCF,football
CHAR,Charlotte,football
FAU,FAU,football
FIU,FIU,football
LT,Louisiana Tech,football
MRSH,Marshall,football
MTSU,Middle Tennessee,football
UNT,North Texas,football
ODU,Old Dominion,football
RICE,Rice,football
USM,Southern Miss,football
UTEP,UTEP,football
UTSA,UTSA,football
WKU,WKU,football
AKR,Akron,football
BALL,Ball State,football
BGSU,Bowling Green,football
BUFF,Buffalo,football
CMU,Central Michigan,football
EMU,Eastern Michigan,football
KENT,Kent State,football
M-OH,Miami (OH),football
NIU,Northern Illinois,football
OHIO,Ohio,football
TOL or TOLEDO,Toledo,football
WMU,Western Michigan,football
AFA,Air Force,football
BSU,Boise State,football
CSU,Colorado State,football
FRES,Fresno State,football
HAW,Hawaii,football
NEV,Nevada,football
UNM,New Mexico,football
SDSU,San Diego State,football
SJSU,San José State,football
UNLV,UNLV,football
USU,Utah State,football
WYO,Wyoming,football
APP,Appalachian State,football
ARST,Arkansas State,football
GASO,Georgia Southern,football
GAST or GSU,Georgia State,football
IDHO,Idaho,football
ULL,Louisiana Lafayette,football
ULM,Louisiana Monroe,football
