Index,acronym,team_name
266,MAINE or MNE,Maine
267,UNH,New Hampshire
268,URI,Rhode Island
269,RICH,Richmond
270,STON,Stony Brook
271,TOWS,Towson
272,NOVA,Villanova
273,W&M,William & Mary
274,Ivy,Ivy League
275,BRWN,Brown
276,COR,Cornell
277,CLMB,Columbia
278,DART,Dartmouth
279,HARV,Harvard
280,PENN,UPenn
281,PRIN,Princeton
282,YALE,Yale
283,MEAC,MEAC
284,COOK,Bethune-Cookman
285,DSU,Delaware State
286,FAMU,Florida A&M
287,HAMP,Hampton
288,HOW,Howard
289,MORG,Morgan State
290,NORF,Norfolk State
291,NCAT,North Carolina A&T
292,NCCU,NC Central
293,SAV,Savannah State
294,SCST,South Carolina State
295,MVFC,Missouri Valley
296,ILST,Illinois State
297,INST,Indiana State
298,MOST,Missouri State
299,NDSU,North Dakota State
300,UNI,Northern Iowa
301,SDAK,South Dakota
302,SDSU,South Dakota State
303,SIU,Southern Illinois
304,WIU,Western Illinois
305,YSU,Youngstown State
306,NEC,Northeast
307,BRY,Bryant
308,CCSU,Central Connecticut
309,DUQ,Duquesne
310,RMU,Robert Morris (PA)
311,SHU,Sacred Heart
312,SFU,St. Francis (PA)
313,WAG,Wagner
314,OVC,Ohio Valley
315,PEAY,Austin Peay
316,EIU,Eastern Illinois
317,EKY,Eastern Kentucky
318,JVST,Jacksonville State
319,MURR,Murray State
320,SEMO,Southeast Missouri
321,TNST,Tennessee State
322,TNTC,Tennessee Tech
323,UTM,Tennessee-Martin
324,Patriot,Patriot
325,BUCK,Bucknell
326,COLG,Colgate
327,FOR,Fordham
328,GTWN,Georgetown
329,HC,Holy Cross
330,LAF,Lafayette
331,LEH,Lehigh
332,Pioneer,Pioneer
333,BUT,Butler
334,CAMP,Campbell
335,DAV,Davidson
336,DAY,Dayton
337,DRKE,Drake
338,JAC,Jacksonville
339,MRST,Marist
340,MORE,Morehead State
341,USD,San Diego
342,STET,Stetson
343,VALP,Valparaiso
344,SoCon,SoCon
345,CHAT,Chattanooga
346,ETSU,ETSU
347,FUR,Furman
348,MER,Mercer
349,SAM,Samford
350,CIT,The Citadel
351,VMI,VMI
352,WCU,Western Carolina
353,WOF,Wofford
354,Southland,Southland
355,ACU,Abilene Christian
356,UCA,Central Arkansas
357,HBU,Houston Baptist
358,IW,Incarnate Word
359,LAM,Lamar
360,MCNS,McNeese State
361,NICH,Nicholls State
362,NWST,Northwestern State
363,SHSU,Sam Houston State
364,SELA,Southeastern Louisiana
365,SFA,Stephen F. Austin
366,SWAC,SWAC
367,AAMU,Alabama A&M
368,ALST,Alabama State
369,ALCN,Alcorn State
370,ARPB,Arkansas-Pine Bluff
371,GRAM,Grambling State
372,JKST,Jackson State
373,MVSU,Mississippi Valley State
374,PV,Prairie View A&M
375,SOU,Southern University
376,TXSO,Texas Southern
377,XAV,Xavier
378,DUK,Duke
379,VIL,Villanova
380,STH,Seton Hall
381,MQT,Marquette
382,CRE,Creighton
383,PRV,Providence
384,DEP,DePaul
385,STJ,St Johns
